,,,,,,Fantasy,,Rank,Trends,Ret,Tackles,,,,,Misc,,Turnovers,,,TD
,Defensive Players,,Roster Status,GP*,Bye,Fan Pts ,O-Rank,Actual,% Rostered,TD,Tack Solo,Tack Ast,TFL,Sack,Safe,Pass Def,Blk Kick,Int,Fum Force,Fum Rec,TD
,No new player Notes Joe Schobert Pit - LB Sun 1:00 pm @Buf,,FA,17,7,193.64,1534,1534,55%,0,76.8,44.9,6.5,3.2,0,6.5,0,2.2,2.2,1.1,0
,No new player Notes Justin Simmons Den - S Sun 4:25 pm @NYG,,FA,17,11,191.26,1800,1800,36%,0,78.2,25.4,4.2,0,0,11.9,0,4.2,0,0,0
,No new player Notes John Johnson III Cle - S Sun 4:25 pm @KC,,FA,17,13,190.94,1805,1805,28%,0,75.4,39.9,5.5,1.1,0,10.5,0,3.3,0,0,0
,Player Note T.J. Watt Pit - LB Sun 1:00 pm @Buf,,FA,17,7,190.3,1572,1572,60%,0,49.5,17.2,20.4,15.1,0,1.1,1.1,1.1,5.4,2.1,0
,No new player Notes Jeremy Chinn Car - S Sun 1:00 pm vs NYJ,,FA,17,13,190,374,374,71%,0,78.2,44.6,5.3,1.1,0,8,0,2.1,2.1,1.1,0
,No new player Notes Kevin Byard Ten - S Sun 1:00 pm vs Ari,,FA,17,13,189.74,385,385,53%,0,72.7,35.2,4.4,0,0,9.3,0,5.5,0,0,1.1
,No new player Notes Jayon Brown Ten - LB Sun 1:00 pm vs Ari,,FA,17,13,189.35,1565,1565,26%,0,88.1,50.6,6.6,2.2,0,2.2,0,1.1,1.1,1.1,0
,No new player Notes Demario Davis NO - LB Sun 4:25 pm vs GB ,,FA,17,6,188.95,1582,1582,32%,0,88.1,47.4,6.6,4.4,0,1.1,0,1.1,0,0,0
,No new player Notes Kenny Moore II Ind - CB Sun 1:00 pm vs Sea ,,FA,17,14,188.38,1135,1135,27%,0,77.1,15.6,3.4,2.2,0,11.6,0,2.2,2.2,1.1,0
,No new player Notes Joey Bosa LAC - DE Sun 1:00 pm @Was,,FA,17,7,187.09,573,573,58%,0,55.6,19.6,28.4,14.2,1.1,0,0,0,2.2,1.1,0
,Player Note Minkah Fitzpatrick Pit - S Sun 1:00 pm @Buf,,FA,17,7,185.94,1809,1809,36%,0,68.8,28,1.1,0,0,12.2,0,5.4,1.1,1.1,0
,No new player Notes Malcolm Jenkins NO - S Sun 4:25 pm vs GB ,,FA,17,6,185.03,1764,1764,27%,0,74.9,20.9,4.4,2.2,0,9.3,0,2.2,2.2,1.1,1.1
